"Date"	"Price..Open."	"Price..High."	"Price..Low."	"Price..Close."	"Real.Volume"	"Circulating.Marketcap"	"Marketcap.Dominance"
"2153"	2018-07-19	7371.01239372332	7566.69686165365	7274.55563698068	7469.89072022407	896731792.264936	126519614830.102	46.9057122280831
"2152"	2018-07-20	7471.76813093968	7684.61641797661	7266.19476618197	7325.62855046032	1028554292.02432	128263421660.144	47.5179124614465
"2151"	2018-07-21	7329.70554380336	7452.85295025124	7209.46622777174	7399.45125251251	537049023.579892	125837271175.875	48.6147409897484
"2150"	2018-07-22	7400.74124399872	7571.52083378735	7332.81338001228	7389.7665226625	611186485.631837	127073658459.821	48.009781633746
"2149"	2018-07-23	7396.28064544483	7808.82081328532	7368.19105145075	7713.09163184943	1218204431.79116	127012417082.88	48.5067092737681
"2148"	2018-07-24	7710.05686557438	8493.05979562291	7687.82221886743	8392.9264805216	1812492670.77956	132416056119.498	49.5179643808666
"2147"	2018-07-25	8402.40723139365	8482.90618760124	8053.13593122007	8151.60342704754	1284612246.07112	144325392802.204	50.679629519844
"2146"	2018-07-26	8170.25532332956	8309.03524990616	7848.43841522528	7922.83873125168	1085181450.47805	140354651622.576	50.0295524598392
"2145"	2018-07-27	7928.74004970117	8282.67358294093	7798.05622707109	8154.84224888898	1151453356.82214	136222279838.02	50.0823878532422
"2144"	2018-07-28	8183.97757790924	8252.0325447262	8057.50683966302	8229.54042239392	621748857.700747	140622306054.984	50.3151662487399
"2143"	2018-07-29	8223.89389782888	8293.42405296467	8115.43118169672	8192.02452508979	595057444.918496	141325651430.863	50.4385599942958
"2142"	2018-07-30	8217.99432845052	8291.21725290727	7858.78749950346	8161.49985279707	1167103128.11284	141238035940.136	50.638347154454
"2141"	2018-07-31	8169.12140702011	8174.56046293422	7508.92038461612	7722.16487450383	1343005762.9205	140413097564.488	51.1377276517536
"2140"	2018-08-01	7733.60002182402	7755.86075266314	7428.25311045171	7594.95845831014	1090730447.48684	132941739566.405	50.8440962345808
"2139"	2018-08-02	7605.73617194888	7707.39773718735	7452.24488870596	7521.23830889794	776918356.957937	130758290031.05	51.1980262327599
"2138"	2018-08-03	7533.53477537536	7534.84857313268	7270.90290620569	7406.7699842806	1016853519.27447	129532633004.788	51.5643852696395
"2137"	2018-08-04	7414.00962096391	7489.04715602465	6930.84106062846	7006.30635536067	890386759.452312	127493814373.533	50.9267280528697
"2136"	2018-08-05	7013.52317936997	7090.36314585273	6889.51627888977	7026.36104055124	637103793.718059	120620942231.179	50.5649134927818
"2135"	2018-08-06	7023.59160194224	7158.58501097537	6842.00946988106	6926.95282830368	670305121.847995	120805605460.476	50.2165000615281
"2134"	2018-08-07	6926.00843312865	7137.98393687603	6672.67594894176	6709.27592661533	969998703.671905	119140252463.435	50.303256608031
"2133"	2018-08-08	6716.0055698591	6721.05600125742	6123.27433653061	6279.18178078227	1368880545.7738	115540994443.294	50.8201440952309
"2132"	2018-08-09	6275.85207899839	6625.19239817209	6181.91883374482	6530.24408610934	1018489509.91849	107980361436.8	51.5415844179929
"2131"	2018-08-10	6528.75863786785	6573.60383226669	6015.37678841475	6142.76282104625	1150027650.9172	112346157697.101	51.7934787672499
"2130"	2018-08-11	6150.72145642723	6492.43458205034	5991.5389021091	6239.29802995081	931709892.57118	105854007076.309	52.1581193543732
"2129"	2018-08-12	6236.3376432197	6490.6190609524	6158.70753160199	6308.70833540328	725227595.625368	107339546617.831	53.6782990482178
"2128"	2018-08-13	6313.77986985549	6542.92627358509	6143.5733691753	6249.16935761976	945471067.93954	108684318491.253	53.5214557940608
"2127"	2018-08-14	6249.4852860165	6265.67325606747	5889.24374184676	6192.37016248756	1199767708.34498	107588189416.134	55.7403403958043
"2126"	2018-08-15	6191.69720470878	6631.13654456052	6181.11706285139	6271.3315457093	1442454888.1819	106605799507.005	56.1806613094888
"2125"	2018-08-16	6271.41369121371	6475.5266355532	6208.7086013222	6311.3782360974	864792238.507447	107990708853.195	56.1596142227767
"2124"	2018-08-17	6312.29313344855	6588.7626578401	6287.26422558087	6580.26669132461	930999988.372607	108706628278.616	55.6390806695988
"2123"	2018-08-18	6579.47009324818	6616.69801158995	6304.92363186576	6399.14617840892	764566181.53754	113320954010.855	53.6976076127142
"2122"	2018-08-19	6389.94432879223	6547.72285147577	6315.34117140152	6481.18537853006	602432217.265034	110068255635.916	54.7895541104886
"2121"	2018-08-20	6479.70727622398	6526.86532846268	6218.62293877144	6254.83259206356	802641576.624602	111626593926.495	54.3852228870771
"2120"	2018-08-21	6250.31756427261	6503.57496559339	6240.28491573345	6475.01042143789	711755961.572296	107686437776.277	55.833619634125
"2119"	2018-08-22	6476.10851251292	6889.58312392101	6245.49318473828	6356.01361450536	1409291943.44115	111589533076.826	55.7196386480514
"2118"	2018-08-23	6350.68280982514	6567.10421403887	6341.34897297664	6520.56950927274	705118999.839463	109440157687.433	56.1251768037235
"2117"	2018-08-24	6526.64919644044	6725.70891358007	6447.32098455225	6673.60799182355	790377283.837514	112484466334.438	55.9587200401432
"2116"	2018-08-25	6693.19244024299	6781.35790217397	6659.40770419454	6731.01406224152	474143677.975951	115366077721.381	56.3352913316085
"2115"	2018-08-26	6732.78584415926	6775.82762843703	6560.72662835361	6687.88721882755	445875874.328569	116063083433.248	56.3880425097555
"2114"	2018-08-27	6707.34093564568	6943.12725488178	6626.19661964569	6903.87657076245	701245050.33755	115639964956.417	56.6659851968403
